timestamp,gt_power_mw,gt_heat_rate_btu_kwh,gt_exhaust_temp_c,solar_output_mw,solar_irradiance_fraction,solar_cell_temp_c,bess_soc_pct,bess_power_mw,bess_terminal_voltage_v,compute_cpu_load_pct,compute_mem_util_pct,compute_inlet_temp_c,cooling_chws_temp_c,cooling_pump_flow_ls,cooling_cop
2026-08-03 15:50:05,282.46,10712.4,567.3,119.76,0.601,42.8,72.0,-14.17,1478.3,65.3,55.0,22.4,7.97,637.5,4.2
2026-08-03 15:50:06,284.91,10668.5,568.1,120.09,0.6,42.7,72.01,-24.33,1480.1,65.2,55.0,22.7,7.94,631.0,4.16
2026-08-03 15:50:07,287.16,10670.6,564.5,119.93,0.6,43.0,72.01,-31.61,1478.1,65.4,55.0,22.4,7.91,633.5,4.25
2026-08-03 15:50:08,289.43,10701.2,566.9,119.9,0.6,43.2,72.01,-36.82,1478.7,65.5,55.0,22.5,7.88,634.1,4.27
2026-08-03 15:50:09,291.55,10642.6,569.1,120.46,0.6,42.6,72.02,-40.56,1479.7,65.5,55.0,22.5,7.85,634.4,4.17
